B00JQP1SP6 <CI0><CI0>
B004CQXZ5U <CI1><CI22><CI134><CI3>
B003IU8KLU <CI1><CI39><CI3>
B004600K00 <CI1><CI27><CI27>
B00ATDTYX2 <CI1><CI36><CI9>
B004UVRYQS <CI1><CI29><CI18>
B0037LKIAG <CI1><CI24><CI142><CI3>
B0018S8NNE <CI1><CI24><CI157><CI0>
B00AQ9JIDK <CI1><CI32><CI7>
B0000CC64W <CI1><CI24><CI147><CI3>
B001ECQ4L2 <CI1><CI24><CI157><CI1>
B000HRVC5I <CI1><CI22><CI127><CI4>
B003JNQV7G <CI1><CI23><CI9>
B004LE0YW0 <CI1><CI35><CI4>
B00EL1HZ34 <CI1><CI22><CI128><CI4>
B007UQ90O4 <CI1><CI22><CI127><CI5>
B009ARXD12 <CI1><CI22><CI125><CI4>
B002QI1F8A <CI1><CI22><CI127><CI6>
B00012NEYG <CI1><CI28><CI11>
B002KAGWYQ <CI1><CI34><CI34>
B003HFSZ3Y <CI1><CI22><CI127><CI7>
B0055STG20 <CI1><CI25><CI18>
B0046VESSE <CI1><CI25><CI19>
B00194Q7BC <CI1><CI32><CI8>
B00168538E <CI1><CI29><CI20>
B000052YM4 <CI1><CI24><CI140><CI7>
B000GX9HIW <CI1><CI24><CI147><CI4>
B003BMGAFI <CI1><CI22><CI129><CI4>
B009SCRSHE <CI1><CI20><CI13>
B0000530M0 <CI1><CI23><CI10>
B004C4O2QS <CI1><CI24><CI153><CI6>
B003NEZ0R8 <CI1><CI35><CI5>
B001330XFA <CI1><CI25><CI20>
B0024H42E2 <CI1><CI24><CI145><CI3>
B0000536M2 <CI1><CI28><CI13>
B001FB5IFU <CI1><CI27><CI29>
B000EM9D6Q <CI1><CI34><CI36>
B0000531SW <CI1><CI27><CI30>
B0018SAJ7M <CI1><CI34><CI37>
B004JLCQFI <CI1><CI24><CI142><CI4>
B0002Z0R9C <CI1><CI29><CI23>
B00AB4W2H4 <CI1><CI29><CI24>
B003XOY70Y <CI1><CI24><CI158><CI0>
B008DLT9H8 <CI1><CI22><CI134><CI5>
B009FANUEE <CI1><CI20><CI18>
B002HMYF8W <CI1><CI22><CI133><CI3>
B001T8S7T8 <CI1><CI30><CI6>
B002FGKPWK <CI1><CI24><CI142><CI5>
B00008CMOR <CI1><CI24><CI159><CI0>
B001LFIKOG <CI1><CI39><CI6>
B000YT4TYK <CI1><CI22><CI133><CI4>
B0072AJLNI <CI1><CI31><CI5>
B00176B9JC <CI1><CI24><CI158><CI1>
B0077S35WS <CI1><CI36><CI11>
B005OZW3ZG <CI1><CI22><CI121><CI7>
B007IY97U0 <CI1><CI29><CI29>
B000NRQ89M <CI1><CI37><CI2>
B002PBEAYE <CI1><CI21><CI16>
B000GCKCDW <CI1><CI24><CI143><CI5>
B002D48QI4 <CI1><CI20><CI19>
B007M819DU <CI1><CI24><CI147><CI5>
B00FAEOCP0 <CI1><CI26><CI23>
B004A7OVBI <CI1><CI22><CI121><CI8>
B001QTW2FK <CI1><CI24><CI149><CI2>
B0028CX8FW <CI1><CI33><CI11>
B00D8K4JWY <CI1><CI26><CI24>
B007IAE5WY <CI1><CI29><CI31>
B004FAJFDO <CI1><CI22><CI128><CI5>
B008CEDY5O <CI1><CI24><CI143><CI6>
B004KU9PN4 <CI1><CI34><CI40>
B00243FOGG <CI1><CI24><CI153><CI7>
B005OZN56M <CI1><CI22><CI137><CI1>
B0017JT658 <CI1><CI34><CI41>
B0016S0Y4M <CI1><CI27><CI37>
B002ULA304 <CI1><CI22><CI125><CI5>
B001MW1MKM <CI1><CI33><CI13>
B003IXP6P0 <CI1><CI24><CI143><CI7>
B005GMYQ52 <CI1><CI22><CI132><CI3>
B004DIZZH8 <CI1><CI22><CI128><CI6>
B001POADAW <CI1><CI22><CI121><CI9>
B003C1LYZO <CI1><CI34><CI43>
B004KAVHG2 <CI1><CI24><CI158><CI2>
B001BVGJPC <CI1><CI25><CI26>
B0013GB1Y4 <CI1><CI34><CI45>
B00068CG3U <CI1><CI24><CI141><CI5>
B002XBBLJS <CI1><CI27><CI40>
B00005V5OW <CI1><CI38><CI7>
B00005V5OU <CI1><CI24><CI141><CI7>
B000GP78S6 <CI1><CI20><CI20>
B005OZEFKM <CI1><CI22><CI124><CI6>
B002VWL2AM <CI1><CI24><CI151><CI3>
B009U9990E <CI1><CI24><CI158><CI3>
B0000YUXI0 <CI1><CI20><CI22>
B00593FFDU <CI1><CI22><CI138><CI0>
B0094G3LQ6 <CI1><CI22><CI126><CI4>
B001NP8JRM <CI1><CI20><CI23>
B003MGRT2Q <CI1><CI22><CI135><CI5>
B0094GJ6IS <CI1><CI24><CI156><CI2>
B003KZBI30 <CI1><CI20><CI24>
B001BBRPSW <CI1><CI20><CI25>
B00ADRH2OM <CI1><CI24><CI149><CI3>
B000L9FBTA <CI1><CI27><CI41>
B003MJ7Z0O <CI1><CI33><CI15>
B0012GQNH0 <CI1><CI38><CI8>
B005VMHWRQ <CI1><CI34><CI47>
B0081E6TKC <CI1><CI30><CI9>
B0017R7TYK <CI1><CI24><CI146><CI2>
B0075GXW0W <CI1><CI24><CI152><CI2>
B004W8Z3IK <CI1><CI29><CI35>
B0035LT8WM <CI1><CI38><CI9>
B0045W4X16 <CI1><CI22><CI120><CI7>
B00BPUAUB8 <CI1><CI22><CI127><CI9>
B001TSQYHA <CI1><CI39><CI7>
B000JGERAO <CI1><CI20><CI27>
B001SB9CL8 <CI1><CI24><CI146><CI3>
B0002YFQ6W <CI1><CI34><CI50>
B004W17O7A <CI1><CI33><CI16>
B00528M5IU <CI1><CI22><CI133><CI6>
B0033ROOS6 <CI1><CI34><CI51>
B000PHRIQM <CI1><CI22><CI133><CI7>
B001VSBL6C <CI1><CI24><CI159><CI4>
B001CS6BIY <CI1><CI34><CI52>
B005EII2OY <CI1><CI32><CI13>
B008DUCH4Q <CI1><CI29><CI36>
B002RS6JPI <CI1><CI20><CI28>
B005SPEU44 <CI1><CI24><CI158><CI4>
B000PNXBU8 <CI1><CI24><CI140><CI8>
B001PPMLS8 <CI1><CI34><CI53>
B000BFTAMS <CI1><CI27><CI44>
B001P5WZE8 <CI1><CI24><CI140><CI9>
B00546F4CY <CI1><CI37><CI3>
B008SYWGW0 <CI1><CI22><CI128><CI8>
B005UBN3L2 <CI1><CI22><CI135><CI7>
B002A4D5YM <CI1><CI37><CI4>
B001QT3GVO <CI1><CI29><CI37>
B002L6NZHG <CI1><CI28><CI16>
B003IX3CEM <CI1><CI26><CI29>
B00397XUIK <CI1><CI24><CI143><CI8>
B009CNA3ZI <CI1><CI22><CI127><CI11>
B0009WB49K <CI1><CI34><CI55>
B00021DTEG <CI1><CI30><CI11>
B007CTNHL6 <CI1><CI25><CI29>
B0028RFYFE <CI1><CI29><CI38>
B005PHMT84 <CI1><CI22><CI130><CI3>
B0026IJF96 <CI1><CI27><CI46>
B001LFI75I <CI1><CI22><CI123><CI2>
B004AJ1MN6 <CI1><CI21><CI17>
B0037MH6L4 <CI1><CI37><CI5>
B001E8HI8E <CI1><CI26><CI31>
B00112BW5I <CI1><CI27><CI47>
B008GOR6O0 <CI1><CI22><CI124><CI8>
B0044XXO84 <CI1><CI29><CI40>
B002YK54XC <CI1><CI34><CI57>
B006J5V9IC <CI1><CI32><CI16>
B003TU4CB6 <CI1><CI24><CI159><CI5>
B003S19S9W <CI1><CI24><CI159><CI6>
B00D76IPK6 <CI1><CI22><CI124><CI9>
B004BCT950 <CI1><CI21><CI18>
B00133HK3I <CI1><CI22><CI133><CI9>
B001H54SQ4 <CI1><CI24><CI159><CI7>
B005EM5DT2 <CI1><CI22><CI120><CI8>
B002BAOMAG <CI1><CI30><CI12>
B0047ENQFQ <CI1><CI24><CI149><CI4>
B00AQ9RTBS <CI1><CI32><CI17>
B0006PLPE4 <CI1><CI24><CI149><CI5>
B003ZTVDBS <CI1><CI27><CI49>
B000H3EO9I <CI1><CI27><CI51>
B0047ARSKE <CI1><CI27><CI52>
B0053P6UTC <CI1><CI36><CI14>
B002IOTG9M <CI1><CI34><CI58>
B002GENWU8 <CI1><CI29><CI41>
B000EZG9Z6 <CI1><CI38><CI14>
B009GEUPAG <CI1><CI24><CI147><CI9>
B00B1ZRTP2 <CI1><CI33><CI19>
B004L8J15C <CI1><CI22><CI131><CI6>
B002BWPXGQ <CI1><CI26><CI34>
B008DUCG7E <CI1><CI30><CI13>
B000BKXGXW <CI1><CI29><CI43>
B002B4LUF2 <CI1><CI23><CI13>
B005CN6M84 <CI1><CI34><CI62>
B004XA81ZE <CI1><CI25><CI32>
B004Y9GS0E <CI1><CI24><CI158><CI6>
B0017P7BOA <CI1><CI27><CI55>
B0019GXOXY <CI1><CI24><CI143><CI12>
B003H897AQ <CI1><CI38><CI16>
B005GDAZ9W <CI1><CI26><CI37>
B000UPRSKA <CI1><CI24><CI143><CI13>
B0084A5NOQ <CI1><CI21><CI19>
B002HPBF32 <CI1><CI34><CI64>
B001KYS930 <CI1><CI29><CI44>
B000143K2A <CI1><CI27><CI57>
B001F51VAM <CI1><CI34><CI65>
B0002RI2PG <CI1><CI32><CI19>
B001ET7A4K <CI1><CI24><CI156><CI3>
B00021KD2C <CI1><CI29><CI45>
B00BTFKGNG <CI1><CI22><CI127><CI12>
B0036WJ456 <CI1><CI23><CI14>
B001DYM5Y6 <CI1><CI24><CI157><CI3>
B00418ZRKU <CI1><CI26><CI39>
B004MTCKSU <CI1><CI24><CI143><CI14>
B000H3EOLG <CI1><CI33><CI21>
B002AQF3PO <CI1><CI29><CI46>
B0043TWOUI <CI1><CI32><CI20>
B0016M1PVY <CI1><CI20><CI33>
B009WI3RZQ <CI1><CI22><CI128><CI10>
B003W5KDFW <CI1><CI25><CI35>
B0082D69H0 <CI1><CI22><CI126><CI5>
B002XOQSPC <CI1><CI26><CI40>
B00BKH3Q58 <CI1><CI22><CI135><CI11>
B00113HO90 <CI1><CI27><CI59>
B00DG1A2OY <CI1><CI33><CI23>
B0009F3O18 <CI1><CI22><CI126><CI6>
B004DBXKWW <CI1><CI23><CI16>
B002BWPXFW <CI1><CI27><CI60>
B003FTXLZY <CI1><CI35><CI9>
B007ISRNJS <CI1><CI38><CI18>
B004IFOXFQ <CI1><CI21><CI20>
B002OVV7F0 <CI1><CI23><CI17>
B0043OSKZG <CI1><CI27><CI61>
B006X1DCFK <CI1><CI29><CI48>
B005IAVBMI <CI1><CI22><CI121><CI10>
B00199YUBG <CI1><CI34><CI68>
B0031NK6J8 <CI1><CI24><CI146><CI4>
B000LJCNG4 <CI1><CI24><CI143><CI16>
B003GVCU62 <CI1><CI24><CI143><CI17>
B000VYIH3M <CI1><CI26><CI41>
B001KYRWP6 <CI1><CI33><CI24>
B000VV1ZMU <CI1><CI22><CI133><CI10>
B008J7HPTU <CI1><CI22><CI134><CI6>
B004X1P91C <CI1><CI22><CI125><CI6>
B000OYNCES <CI1><CI24><CI145><CI5>
B004R6HIR6 <CI1><CI25><CI38>
B0000536P3 <CI1><CI27><CI62>
B00008MOQE <CI1><CI27><CI63>
B0052L1YZC <CI1><CI24><CI151><CI6>
B00B7ZFMA0 <CI1><CI24><CI159><CI8>
B00BPJ139C <CI1><CI22><CI134><CI7>
B000RUJJAU <CI1><CI29><CI50>
B003ZS8MMW <CI1><CI22><CI124><CI11>
B0011ULXB8 <CI1><CI34><CI71>
B003DVNKU0 <CI1><CI22><CI135><CI13>
B001KYS1YM <CI1><CI33><CI25>
B000NCTQV4 <CI1><CI36><CI16>
B006OY1MO4 <CI1><CI24><CI156><CI4>
B008CC4FPY <CI1><CI25><CI39>
B003VKR018 <CI1><CI26><CI42>
B002CL6D56 <CI1><CI28><CI20>
B005GQ6HUK <CI1><CI32><CI21>
B006ZBP8NM <CI1><CI24><CI152><CI4>
B000FFT8KS <CI1><CI24><CI146><CI6>
B000GDDKIU <CI1><CI20><CI35>
B007A59A2W <CI1><CI24><CI158><CI7>
B0031NLHXC <CI1><CI34><CI73>
B00563K6VO <CI1><CI29><CI52>
B004DIXYUI <CI1><CI28><CI21>
B009YXC3LS <CI1><CI28><CI22>
B005HIGY46 <CI1><CI24><CI148><CI1>
B009K7X26I <CI1><CI26><CI44>
B003X8749Q <CI1><CI24><CI157><CI5>
B007TQBGCY <CI1><CI29><CI54>
B001ET7KAY <CI1><CI26><CI45>
B002PNBZIQ <CI1><CI22><CI131><CI8>
B000ALBNGE <CI1><CI34><CI75>
B004SPIJ0G <CI1><CI25><CI40>
B001U6FIVE <CI1><CI25><CI41>
B001R2S8HM <CI1><CI27><CI65>
B001BSH2E2 <CI1><CI27><CI66>
B004ZWH4BC <CI1><CI23><CI18>
B00005A43X <CI1><CI33><CI26>
B000141O6E <CI1><CI38><CI20>
B003UGV05U <CI1><CI21><CI21>
B00185EA8E <CI1><CI29><CI55>
B004OE9RO8 <CI1><CI22><CI133><CI12>
B002VA4LMU <CI1><CI34><CI77>
B001GELIBO <CI1><CI24><CI147><CI11>
B001ET7M84 <CI1><CI24><CI147><CI12>
B0017DI8QM <CI1><CI24><CI149><CI6>
B0081E6X3U <CI1><CI24><CI158><CI8>
B001DQEGPA <CI1><CI21><CI22>
B005EIIEQA <CI1><CI31><CI8>
B001MIZMLG <CI1><CI27><CI67>
B00198ZOU8 <CI1><CI22><CI127><CI14>
B003Y57G7I <CI1><CI33><CI28>
B000KOHSQA <CI1><CI34><CI79>
B00920E03M <CI1><CI22><CI124><CI13>
B005YRD5PQ <CI1><CI34><CI81>
B00140TXWQ <CI1><CI26><CI48>
B0067H6G2G <CI1><CI36><CI19>
B004367X70 <CI1><CI25><CI43>
B000EVGQ8U <CI1><CI22><CI124><CI14>
B001390336 <CI1><CI24><CI153><CI9>
B000N758A2 <CI1><CI24><CI158><CI9>
B009WI0VFK <CI1><CI22><CI120><CI9>
B0051OKX98 <CI1><CI22><CI128><CI12>
B001LBIX74 <CI1><CI28><CI25>
B000P4ZOIE <CI1><CI24><CI143><CI19>
B000URVDIQ <CI1><CI24><CI152><CI7>
B00008ZPG9 <CI1><CI27><CI68>
B002ZQ9COM <CI1><CI22><CI129><CI8>
B003T1G0XI <CI1><CI39><CI14>
B001G7OCSM <CI1><CI24><CI149><CI8>
B00AO4E9DG <CI1><CI34><CI83>
B002UUT39M <CI1><CI24><CI147><CI13>
B008AH12C0 <CI1><CI24><CI159><CI9>
B0000531WZ <CI1><CI22><CI132><CI4>
B005F4BH8A <CI1><CI36><CI21>
B004LUZ956 <CI1><CI24><CI143><CI20>
B002B9DWBC <CI1><CI33><CI29>
B005GMY8DC <CI1><CI22><CI138><CI1>
B000Q97ZS0 <CI1><CI24><CI140><CI12>
B005P0M69I <CI1><CI22><CI120><CI10>
B000X9WXSU <CI1><CI33><CI31>
B001ACCZ5K <CI1><CI24><CI159><CI11>
B004JZT328 <CI1><CI22><CI127><CI15>
B002PBEDFK <CI1><CI27><CI69>
B003XQ7A38 <CI1><CI24><CI142><CI9>
B002HHNRF4 <CI1><CI23><CI20>
B007SEEAEI <CI1><CI24><CI141><CI11>
B001TP0A8M <CI1><CI22><CI133><CI15>
B001H9289Y <CI1><CI24><CI143><CI21>
B004VMGT2Q <CI1><CI24><CI141><CI12>
B000NSIG8M <CI1><CI34><CI86>
B004EAWKO6 <CI1><CI24><CI154><CI4>
B000IMPD3O <CI1><CI27><CI71>
B0030GFXMQ <CI1><CI38><CI24>
B00B1IV2A2 <CI1><CI35><CI11>
B0045W22SW <CI1><CI22><CI120><CI11>
B0007R7ABS <CI1><CI24><CI143><CI23>
B00CPISW7S <CI1><CI24><CI142><CI10>
B000AA9HQ8 <CI1><CI34><CI87>
B00168NIEK <CI1><CI25><CI44>
B003BOM2JY <CI1><CI24><CI143><CI25>
B0016J22EQ <CI1><CI23><CI21>
B001QWCCQG <CI1><CI22><CI133><CI17>
B00AVUE1S6 <CI1><CI22><CI133><CI18>
B0062W4TD4 <CI1><CI34><CI89>
B000MVVK7E <CI1><CI33><CI32>
B000FH4T3M <CI1><CI33><CI33>
B000JVA80C <CI1><CI23><CI22>
B001ESIZA4 <CI1><CI22><CI133><CI19>
B004H53CY0 <CI1><CI20><CI39>
B004CR3D4W <CI1><CI24><CI143><CI26>
B000NWDSAE <CI1><CI24><CI147><CI14>
B005V1TL12 <CI1><CI22><CI131><CI10>
B00B9FU21M <CI1><CI36><CI22>
B0085WHBHU <CI1><CI27><CI73>
B00E3G3770 <CI1><CI22><CI135><CI17>
B00853EKAK <CI1><CI32><CI28>
